###FILE ALREADY PARSED###
BPM 0 92
652.17 0 3 
652.17 0 5 
978.26 0 3 
978.26 0 5 
1141.3 0 3 
1141.3 0 5 
1304.35 0 4 
1304.35 0 1 
1304.35-3750 0 7
1630.44 0 1 
1956.52 0 3 
1956.52 0 4 
2282.61 0 1 
2608.7 0 3 
2934.78 0 1 
3260.87 0 3 
3260.87 0 4 
3586.96-6032.61 0 5 
3586.96 0 1 
3913.04 0 3 
4239.13 0 1 
4565.22 0 4 
4565.22 0 3 
4891.3 0 1 
5217.39 0 3 
5543.48 0 1 
5869.57 0 4 
5869.57 0 3 
6195.65 0 3 
6195.65-8804.35 0 6 
6195.65 0 5 
6358.7 0 3 
6358.7 0 5 
6521.74 0 1 
6847.83 0 1 
7173.91 0 3 
7173.91 0 4 
7500 0 1 
7826.09 0 3 
8152.17 0 1 
8478.26 0 3 
8478.26 0 4 
8804.35-10108.7 0 6 
8804.35-10108.7 0 5 
8804.35 0 2 
9130.44 0 3 
9456.52 0 1 
9782.61 0 3 
9782.61 0 4 
10108.7 0 1 
10108.7-11086.96 0 5 
10108.7-11086.96 0 7 
10434.78 0 3 
10760.87 0 1 
11086.96 0 4 
11086.96 652.17 5 1 0 
11086.96 652.17 6 1 0 
11086.96 0 3 
11413.04 0 3 
11413.04 0 5 
11576.09 0 3 
11576.09 0 5 
11739.13 0 1 
11739.13 0 7 
11902.17 0 4 
12065.22 0 4 
12228.26 0 4 
12391.3 0 7 
12391.3 0 6 
12554.35 0 4 
12717.39 0 4 
12880.44 0 4 
13043.48 0 7 
13206.52 0 4 
13369.57 0 4 
13532.61 0 4 
13695.65 0 7 
13695.65 0 6 
13858.7 0 4 
14021.74 0 4 
14184.78 0 4 
14347.83 0 7 
14510.87 0 2 
14510.87 0 4 
14673.91 0 2 
14673.91 0 4 
14836.96 0 2 
14836.96 0 4 
15000 0 7 
15000 0 6 
15163.04 0 1 
15163.04 0 4 
15326.09 0 1 
15326.09 0 4 
15489.13 0 1 
15489.13 0 4 
15652.17 0 7 
15815.22 0 2 
15815.22 0 4 
15978.26 0 2 
15978.26 0 4 
16141.3 0 2 
16141.3 0 4 
16304.35 0 7 
16304.35 0 6 
16467.39 0 1 
16467.39 0 4 
16630.44 0 7 
16630.44 0 4 
16630.44 0 1 
16793.48 0 7 
16793.48 0 4 
16793.48 0 1 
16956.52 0 1 
17119.56 0 6 
17282.61 0 6 
17445.65 0 6 
17608.7 0 1 
17608.7 0 2 
17771.74 0 6 
17934.78 0 6 
18097.83 0 6 
18260.87 0 1 
18423.91 0 6 
18586.96 0 6 
18750 0 6 
18913.04 0 1 
18913.04 0 2 
19076.09 0 6 
19239.13 0 6 
19402.17 0 6 
19565.22 0 1 
19728.26 0 3 
19728.26 0 5 
19891.3 0 5 
19891.3 0 3 
20054.35 0 3 
20054.35 0 5 
20217.39 0 1 
20217.39 0 2 
20380.44 0 4 
20380.44 0 5 
20543.48 0 4 
20543.48 0 5 
20706.52 0 5 
20706.52 0 4 
20869.56 0 1 
21032.61 0 3 
21032.61 0 5 
21195.65 0 5 
21195.65 0 3 
21358.7 0 5 
21358.7 0 3 
21521.74 0 1 
21521.74 0 2 
21684.78 489.13 2 2 0 
21684.78 0 4 
21684.78 0 5 
21847.83 0 5 
21847.83 0 4 
22010.87 0 5 
22010.87 0 4 
22173.91 0 1 
22173.91 2282.61 3 2 0 
22500 0 7 
22826.09 0 1 
22826.09 0 2 
23152.17 0 7 
23478.26 815.22 4 2 0 
23478.26 0 1 
23804.35 0 7 
24130.44 815.22 2 2 0 
24130.44 0 1 
24130.44 0 2 
24456.52 0 7 
24782.61 0 1 
24782.61 1956.52 3 2 0 
25108.7 0 7 
25434.78 0 1 
25434.78 0 2 
25760.87 0 7 
26086.96 0 1 
26413.04 0 7 
26739.13 0 1 
26739.13 0 2 
27065.22 0 3 
27065.22 0 1 
27228.26 0 1 
