###FILE ALREADY PARSED###
BPM 104 120
BPM 22688.25 24
BPM 33980.38 0
BPM 34156.81 360
BPM 34245.03 0
BPM 34421.47 360
BPM 34509.69 0
BPM 34686.13 360
BPM 34774.35 0
BPM 34950.79 360
BPM 35039.01 0
BPM 35127.23 240
BPM 35215.45 0
BPM 35480.11 480
BPM 35568.33 0
BPM 35656.55 240
BPM 35744.77 120
BPM 35832.99 0
BPM 35921.21 240
BPM 36009.43 120
BPM 36274.09 0
BPM 36362.31 240
BPM 36450.53 0
BPM 36538.75 240
BPM 36626.97 0
BPM 36715.19 240
BPM 36803.41 0
BPM 36979.85 360
BPM 37068.07 0
BPM 37244.5 240
BPM 37332.72 0
BPM 37509.16 360
BPM 37597.38 0
BPM 37773.82 360
BPM 37862.04 0
BPM 37950.26 240
BPM 38038.48 0
BPM 38303.14 480
BPM 38391.36 0
BPM 38479.58 240
BPM 38567.8 120
BPM 38656.02 0
BPM 38744.24 240
BPM 38832.46 120
BPM 39097.12 0
BPM 39185.34 240
BPM 39273.56 0
BPM 39538.22 480
BPM 39626.44 0
BPM 39802.88 360
BPM 39891.1 0
BPM 40067.54 360
BPM 40155.76 0
BPM 40332.2 360
BPM 40420.42 0
BPM 40596.85 360
BPM 40685.07 0
BPM 40773.29 240
BPM 40861.51 0
BPM 41126.17 480
BPM 41214.39 0
BPM 41302.61 240
BPM 41390.83 120
BPM 41479.05 0
BPM 41567.27 240
BPM 41655.49 120
BPM 41920.15 0
BPM 42008.37 240
BPM 42096.59 0
BPM 42184.81 240
BPM 42273.03 0
BPM 42361.25 240
BPM 42449.47 0
BPM 42625.91 360
BPM 42714.13 0
BPM 42890.57 360
BPM 42978.79 0
BPM 43155.23 360
BPM 43243.45 0
BPM 43419.89 360
BPM 43508.11 0
BPM 43596.33 240
BPM 43684.55 0
BPM 43949.2 480
BPM 44037.42 0
BPM 44125.64 240
BPM 44213.86 120
BPM 44302.08 0
BPM 44390.3 240
BPM 44478.52 120
BPM 44743.18 0
BPM 44831.4 240
BPM 44919.62 0
BPM 45007.84 240
BPM 45096.06 120
BPM 106673.43 0
BPM 107202.75 120
BPM 107379.19 120
BPM 141255.56 36
BPM 149724.66 30
BPM 151224.37 24
BPM 153015.02 18
BPM 155029.49 0
11396.13 0 2
11396.13 0 1
11484.35 0 6
11660.78 0 6
11749 0 4
11749 0 1
11925.44 0 6
12101.88 0 1
12190.1 0 5
12278.32 0 5
12454.76 0 2
12454.76 0 1
12631.2 0 5
12807.64 0 1
12984.08 0 7
13160.52 0 5
13160.52 0 1
13248.74 0 5
13336.96 0 7
13425.18 0 7
13513.4 0 3
13513.4 0 1
13601.62 0 3
13689.84 0 6
13866.28 0 4
13866.28 0 1
14042.72 0 6
14219.16 0 1
14219.16 0 7
14307.38 0 5
14483.82 0 5
14572.04 0 3
14572.04 0 7
14748.48 0 5
14924.91 0 7
15013.13 0 4
15101.35 0 4
15277.79 0 1
15277.79 0 7
15454.23 0 4
15630.67 0 7
15807.11 0 6
15983.55 0 4
15983.55 0 7
16071.77 0 4
16159.99 0 6
16248.21 0 6
16336.43 0 2
16336.43 0 7
16424.65 0 2
16512.87 0 5
16689.31 0 3
16689.31 0 7
16865.75 0 5
17042.19 0 1
17042.19 0 2
17130.41 0 6
17306.85 0 6
17395.07 0 1
17395.07 0 4
17571.51 0 6
17747.95 0 1
17836.16 0 5
17924.38 0 5
18100.82 0 1
18100.82 0 2
18277.26 0 5
18453.7 0 1
18630.14 0 7
18806.58 0 1
18806.58 0 5
18894.8 0 5
18983.02 0 7
19071.24 0 7
19159.46 0 1
19159.46 0 3
19247.68 0 3
19335.9 0 6
19512.34 0 1
19512.34 0 4
19688.78 0 6
19865.22 0 7
19865.22 0 1
19953.44 0 5
20129.88 0 5
20218.1 0 7
20218.1 0 3
20394.54 0 5
20570.98 0 7
20659.2 0 4
20747.42 0 4
20923.86 0 7
20923.86 0 1
21100.29 0 4
21276.73 0 7
21453.17 0 6
21629.61 0 7
21629.61 0 4
21717.83 0 4
21806.05 0 6
21894.27 0 6
21982.49 0 7
21982.49 0 2
22070.71 0 2
22158.93 0 5
22335.37 0 3
22335.37 0 7
22511.81 0 5
22688.25-24099.76 0 1
22688.25-24099.76 0 7
23394.01-24099.769999999997 0 5
24099.77-25511.29 0 2
24099.77-25511.29 0 6
24805.52-25511.28 0 4
25511.28-26922.8 0 3
25511.28-26922.8 0 5
26217.04-26922.8 0 2
26922.8-28334.32 0 1
26922.8-28334.32 0 4
27628.55-28334.309999999998 0 7
28334.31-29745.82 0 7
28334.31-29745.82 0 1
29040.07-29745.829999999998 0 5
29745.83-31157.350000000002 0 6
29745.83-31157.350000000002 0 2
30451.59-31157.35 0 4
31157.34-32568.86 0 5
31157.34-32568.86 0 3
31863.1-32568.859999999997 0 2
32568.86-33980.38 0 1
32568.86-33980.38 0 4
33274.62-33980.380000000005 0 7
33980.38 0 5
33980.38 0 3
34245.03 0 4
34245.03 0 1
34509.69 0 3
34509.69 0 1
34774.35 0 7
34774.35 0 5
35039.01 0 3
35039.01 0 5
35215.45 0 5
35215.45 0 3
35568.33 0 5
35568.33 0 3
35744.77 0 3
35744.77 0 1
35832.99 0 4
35832.99 0 1
36009.43 0 7
36009.43 0 4
36097.65 0 7
36097.65 0 6
36185.87 0 4
36185.87 0 5
36274.09 0 7
36274.09 0 6
36450.53 0 6
36450.53 0 4
36626.97 0 6
36626.97 0 4
36803.41 0 7
36803.41 0 6
37068.07 0 6
37068.07 0 4
37332.72 0 4
37332.72 0 2
37597.38 0 2
37597.38 0 1
37862.04 0 7
37862.04 0 5
38038.48 0 7
38038.48 0 5
38391.36 0 6
38391.36 0 4
38567.8 0 3
38567.8 0 1
38656.02 0 2
38656.02 0 1
38832.46 0 4
38832.46 0 3
38920.68 0 7
38920.68 0 6
39008.9 0 4
39008.9 0 3
39097.12 0 4
39097.12 0 2
39273.56 0 4
39273.56 0 1
39626.44 0 3
39626.44 0 5
39891.1 0 1
39891.1 0 4
40155.75 0 1
40155.75 0 3
40420.41 0 5
40420.41 0 7
40685.07 0 5
40685.07 0 3
40861.51 0 3
40861.51 0 5
41214.39 0 3
41214.39 0 5
41390.83 0 1
41390.83 0 3
41479.05 0 1
41479.05 0 4
41655.49 0 4
41655.49 0 7
41743.71 0 6
41743.71 0 7
41831.93 0 5
41831.93 0 4
41920.15 0 6
41920.15 0 7
42096.59 0 4
42096.59 0 6
42273.03 0 4
42273.03 0 6
42449.47 0 6
42449.47 0 7
42714.13 0 4
42714.13 0 6
42978.79 0 2
42978.79 0 4
43243.45 0 1
43243.45 0 2
43508.11 0 5
43508.11 0 7
43684.54 0 5
43684.54 0 7
44037.42 0 4
44037.42 0 6
44213.86 0 1
44213.86 0 3
44302.08 0 1
44302.08 0 2
44478.52 0 3
44478.52 0 4
44566.74 0 6
44566.74 0 7
44654.96 0 3
44654.96 0 4
44743.18 0 2
44743.18 0 4
44919.62 0 1
44919.62 0 4
45272.5 0 4
45272.5 0 1
45272.5 0 7
45537.16 0 6
45537.16 0 2
45801.82 0 5
45801.82 0 3
46066.48 0 6
46066.48 0 2
46154.7 0 4
46331.14 0 7
46331.14 0 1
46507.58 0 7
46507.58 0 1
46684.02 0 4
46860.46 0 5
46860.46 0 3
47036.89 0 1
47125.11 0 3
47213.33 0 4
47301.55 0 7
47389.77 0 5
47477.99 0 7
47566.21 0 5
47566.21 0 4
47654.43 0 4
47742.65 0 3
47742.65 0 1
47919.09 0 1
47919.09 0 3
48095.53 0 4
48095.53 0 3
48095.53 0 5
48360.19 0 6
48360.19 0 2
48624.85 0 7
48624.85 0 1
48889.51 0 6
48889.51 0 2
48977.73 0 4
49154.17 0 5
49154.17 0 3
49330.61 0 5
49330.61 0 3
49507.05 0 4
49683.49 0 7
49683.49 0 1
49859.93 0 6
49948.15 0 5
50036.37 0 4
50124.59 0 2
50212.8 0 3
50301.02 0 2
50389.24 0 3
50389.24 0 4
50477.46 0 4
50565.68 0 6
50565.68 0 5
50742.12 0 6
50742.12 0 5
50918.56 0 4
50918.56 0 7
50918.56 0 1
51183.22 0 2
51183.22 0 6
51447.88 0 3
51447.88 0 5
51712.54 0 2
51712.54 0 6
51800.76 0 4
51977.2 0 1
51977.2 0 7
52153.64 0 1
52153.64 0 7
52330.08 0 4
52506.52 0 3
52506.52 0 5
52682.96 0 1
52771.18 0 3
52859.4 0 4
52947.62 0 7
53035.84 0 5
53124.06 0 7
53212.28 0 5
53212.28 0 4
53300.49 0 4
53388.71 0 1
53388.71 0 3
53565.15 0 3
53565.15 0 1
53741.59 0 3
53741.59 0 5
53741.59 0 4
54006.25 0 2
54006.25 0 6
54270.91 0 1
54270.91 0 7
54535.57 0 2
54535.57 0 6
54623.79 0 4
54800.23 0 3
54800.23 0 5
54976.67 0 3
54976.67 0 5
55153.11 0 4
55329.55 0 1
55329.55 0 7
55505.99 0 6
55594.21 0 5
55682.43 0 4
55770.65 0 2
55858.87 0 3
55947.09 0 2
56035.31 0 3
56035.31 0 4
56123.53 0 4
56211.75 0 5
56211.75 0 6
56388.19 0 5
56388.19 0 6
56564.63 0 5
56564.63 0 3
56564.63 0 1
56829.28 0 6
56829.28 0 4
56917.5 0 2
57093.94 0 7
57093.94 0 5
57358.6 0 6
57358.6 0 4
57446.82 0 1
57623.26 0 2
57623.26 0 3
57623.26 0 5
57799.7 0 5
57799.7 0 3
57976.14 0 1
58152.58 0 4
58152.58 0 3
58329.02 0 5
58329.02 0 2
58417.24 0 7
58505.46 0 1
58593.68 0 4
58681.9 0 6
58770.12 0 4
58858.34 0 6
58858.34 0 1
58946.56 0 1
59034.78 0 5
59034.78 0 3
59034.78 0 2
59211.22 0 5
59211.22 0 3
59387.66 0 5
59387.66 0 7
59387.66 0 1
59652.32 0 4
59652.32 0 6
59740.53 0 2
59916.97 0 3
59916.97 0 5
60181.63 0 4
60181.63 0 6
