###FILE ALREADY PARSED###
BPM 0 120
4000-3750 1 0 
4500-500 1 0 
5000-2750 1 0 
8000-3750 1 0 
8500-500 1 0 
9000-500 1 0 
9500-2250 1 0 
12000-3750 1 0 
12500-500 1 0 
13000-2750 1 0 
16000-3750 1 0 
16500-500 1 0 
17000-500 1 0 
17500-2250 1 0 
20000 1 0 
20250 1 0 
20500 1 0 
20500-500 1 0 
20750 1 0 
21000 1 0 
21000-300 1 0 
21250 1 0 
21500 1 0 
21750 1 0 
22000 1 0 
22250 1 0 
22500 1 0 
22750 1 0 
23000 1 0 
23250 1 0 
23500 1 0 
23750 1 0 
24000 1 0 
24250 1 0 
24500 1 0 
24500-500 1 0 
24750 1 0 
25000 1 0 
25000-500 1 0 
25250 1 0 
25500 1 0 
25500-2500 1 0 
25750 1 0 
26000 1 0 
26250 1 0 
26500 1 0 
26750 1 0 
27000 1 0 
27250 1 0 
27500 1 0 
27750 1 0 
28000 1 0 
28250 1 0 
28500 1 0 
28500-500 1 0 
28750 1 0 
29000 1 0 
29000-3250 1 0 
29250 1 0 
29500 1 0 
29750 1 0 
30000 1 0 
30250 1 0 
30500 1 0 
30750 1 0 
31000 1 0 
31250 1 0 
31500 1 0 
31750 1 0 
32000 1 0 
32250 1 0 
32500 1 0 
32500-500 1 0 
32750 1 0 
33000 1 0 
33000-500 1 0 
33250 1 0 
33500 1 0 
33500-2500 1 0 
33750 1 0 
34000 1 0 
34250 1 0 
34500 1 0 
34750 1 0 
35000 1 0 
35250 1 0 
35500 1 0 
35750 1 0 
36000-3750 1 0 
36500-500 1 0 
37000-2750 1 0 
40000-3750 1 0 
40500-500 1 0 
41000-500 1 0 
41500-2250 1 0 
44000-3750 1 0 
44500-500 1 0 
45000-2750 1 0 
48000-3750 1 0 
48500-500 1 0 
49000-500 1 0 
49500-2250 1 0 
52000-3750 1 0 
52000-3750 1 0 
52500-500 1 0 
52500-500 1 0 
53000-2750 1 0 
53000-2750 1 0 
56000-3750 1 0 
56000-3750 1 0 
56500-500 1 0 
56500-500 1 0 
57000-500 1 0 
57000-500 1 0 
57500-2250 1 0 
57500-2250 1 0 
60000-3500 1 0 
60500-500 1 0 
61000-2500 1 0 
64000-3500 1 0 
64500-500 1 0 
65000-500 1 0 
65500-2000 1 0 
68000-3750 1 0 
68500-500 1 0 
69000-2750 1 0 
72000-3500 1 0 
72500-500 1 0 
73000-500 1 0 
73500-2000 1 0 
76000-7500 1 0 
76000-7500 1 0 
