###FILE ALREADY PARSED###
BPM 0 120
4000-7750 0 1 
4500-5000 0 7 
5000-7750 0 6 
8000-11750 0 1 
8500-9000 0 7 
9000-9500 0 6 
9500-11750 0 5 
12000-15750 0 1 
12500-13000 0 7 
13000-15750 0 6 
16000-19750 0 1 
16500-17000 0 7 
17000-17500 0 6 
17500-19750 0 5 
20000 0 1 
20250 0 2 
20500 0 3 
20500-21000 0 7 
20750 0 2
21000 0 1 
21000-24000 0 6 
21250 0 2 
21500 0 3 
21750 0 2 
22000 0 1 
22250 0 2 
22500 0 3 
22750 0 2 
23000 0 1 
23250 0 2 
23500 0 3 
23750 0 2 
24000 0 2 
24250 0 3 
24500 0 4 
24500-25000 0 7 
24750 0 3 
25000 0 2 
25000-25500 0 6 
25250 0 3 
25500 0 4 
25500-28000 0 5 
25750 0 3 
26000 0 2 
26250 0 3 
26500 0 4 
26750 0 3 
27000 0 2 
27250 0 3 
27500 0 4 
27750 0 3 
28000 0 1 
28250 0 2 
28500 0 3 
28500-29000 0 7 
28750 0 2 
29000 0 1 
29000-32250 0 5 
29250 0 2 
29500 0 3 
29750 0 2 
30000 0 1 
30250 0 2 
30500 0 3 
30750 0 2 
31000 0 1 
31250 0 2 
31500 0 3 
31750 0 2 
32000 0 2 
32250 0 3 
32500 0 4 
32500-33000 0 7 
32750 0 3 
33000 0 2 
33000-33500 0 6 
33250 0 3 
33500 0 4 
33500-36000 0 5 
33750 0 3 
34000 0 2 
34250 0 3 
34500 0 4 
34750 0 3 
35000 0 2 
35250 0 3 
35500 0 4 
35750 0 3 
36000-39750 0 1  
36500-37000 0 7 
37000-39750 0 6 
40000-43750 0 1 
40500-41000 0 7 
41000-41500 0 6 
41500-43750 0 5 
44000-47750 0 1  
44500-45000 0 7 
45000-47750 0 6 
48000-51750 0 1  
48500-49000 0 7 
49000-49500 0 6 
49500-51750 0 5 
52000-55750 0 1  
52000-55750 0 2 
52500-53000 0 7 
52500-53000 0 6 
53000-55750 0 5 
53000-55750 0 6 
56000-59750 0 3 
56000-59750 0 1  
56500-57000 0 7 
56500-57000 0 6 
57000-57500 0 5 
57000-57500 0 6 
57500-59750 0 4 
57500-59750 0 6 
60000-63500 0 1  
60500-61000 0 7 
61000-61500 0 6 
64000-67500 0 1  
64500-65000 0 7 
65000-65500 0 6 
65500-67500 0 5 
68000-71750 0 1  
68500-69000 0 7 
69000-71750 0 6 
72000-75500 0 1  
72500-73000 0 7 
73000-73500 0 6 
73500-75500 0 5 
76000-82500 0 7 
76000-82500 0 1  
