###FILE ALREADY PARSED###
BPM 62.5 82.51
62.5 0 1
153.4 0 4
335.19 0 1
607.89 0 4
1516.87 0 2
1698.67 0 5
1880.46 0 2
2789.44 0 5
2971.24 0 2
3334.83 0 2
4425.61 0 5
4516.51 0 1
4607.4 0 5
4698.3 0 1
4789.2 0 5
4971 0 1
5061.89 0 5
5243.69 0 1
5334.59 0 5
5516.38 0 1
5607.28 0 5
5698.18 0 1
5879.98 0 1
5879.98 0 2
5879.98 0 5
5970.88 0 3
6061.77 0 1
6152.67 0 4
6243.57 0 3
6334.47 0 1
6425.37 0 5
6516.26 0 3
6607.16 0 1
6698.06 0 6
6788.96 0 3
6879.86 0 1
6970.75 0 7
7061.65 0 3
7152.55 0 7
7334.35 0 1
7425.24 0 3
7516.14 0 4
7607.04 0 7
7697.94 0 2
7788.84 0 4
7879.73 0 6
7970.63 0 7
8061.53 0 4
8152.43 0 6
8243.33 0 7
8334.23 0 5
8425.12 0 2
8425.12 0 1
8516.02 0 2
8516.02 0 1
8697.82 0 1
8697.82 0 2
8788.72 0 5
8879.61 0 3
8970.51 0 1
9061.41 0 4
9152.31 0 3
9243.21 0 1
9334.1 0 5
9425 0 3
9515.9 0 1
9606.8 0 6
9697.7 0 3
9788.59 0 1
9879.49 0 7
9970.39 0 4
10061.29 0 7
10243.08 0 5
10333.98 0 3
10424.88 0 1
10515.78 0 7
10606.68 0 5
10697.58 0 3
10788.47 0 5
10879.37 0 3
10970.27 0 1
10970.27 0 2
10970.27 0 4
11152.07 0 2
11152.07 0 1
11152.07 0 4
11333.86 0 4
11333.86 0 1
11333.86 0 2
11424.76 0 1
11424.76 0 2
11424.76 0 4
11515.66 0 4
11515.66 0 1
11515.66 0 2
11697.45 0 1
11697.45 0 5
11697.45 0 2
11788.35 0 3
11879.25 0 1
11970.15 0 4
12061.05 0 3
12151.94 0 1
12242.84 0 5
12333.74 0 3
12424.64 0 1
12515.54 0 6
12606.43 0 3
12697.33 0 1
12788.23 0 7
12879.13 0 4
12970.03 0 7
13151.82 0 1
13242.72 0 3
13333.62 0 5
13424.52 0 6
13515.42 0 2
13606.31 0 4
13697.21 0 6
13788.11 0 7
13879.01 0 3
13969.91 0 5
14060.8 0 7
14151.7 0 5
14242.6 0 2
14333.5 0 5
14424.4 0 7
14606.19 0 5
14697.09 0 3
14787.99 0 1
14878.89 0 4
14969.78 0 3
15060.68 0 1
15151.58 0 5
15242.48 0 1
15333.38 0 3
15424.27 0 5
15515.17 0 3
15606.07 0 4
15696.97 0 5
15787.87 0 2
15878.77 0 6
15969.66 0 7
16151.46 0 1
16151.46 0 7
16424.15 0 7
16424.15 0 1
16515.05 0 3
16605.95 0 5
16696.85 0 6
16696.85 0 2
16878.64 0 2
16878.64 0 6
17060.44 0 3
17151.34 0 6
17242.24 0 3
17333.13 0 1
17333.13 0 5
17424.03 0 7
17514.93 0 1
17514.93 0 2
17696.73 0 3
17696.73 0 6
17878.52 0 1
18060.32 0 3
18060.32 0 6
18242.12 0 1
18423.91 0 3
18423.91 0 6
18605.71 0 1
18787.5 0 6
18787.5 0 3
18969.3 0 1
19151.1 0 2
19151.1 0 5
19332.89 0 1
19514.69 0 5
19514.69 0 2
19696.48 0 1
19878.28 0 7
19878.28 0 2
20060.08 0 6
20060.08 0 1
20241.87 0 7
20241.87 0 2
20423.67 0 1
20423.67 0 5
20423.67 0 2
20514.57 0 3
20605.46 0 1
20696.36 0 4
20787.26 0 3
20878.16 0 1
20969.06 0 5
21059.96 0 3
21150.85 0 1
21241.75 0 6
21332.65 0 3
21423.55 0 1
21514.45 0 7
21605.34 0 4
21696.24 0 7
21878.04 0 3
21968.94 0 1
22059.83 0 2
22150.73 0 3
22241.63 0 4
22332.53 0 2
22423.43 0 3
22514.32 0 4
22605.22 0 5
22696.12 0 3
22787.02 0 4
22877.92 0 5
22968.81 0 6
22968.81 0 2
22968.81 0 1
23059.71 0 5
23150.61 0 6
23241.51 0 7
23332.41 0 2
23332.41 0 3
23332.41 0 1
23514.2 0 3
23514.2 0 6
23696 0 1
23877.8 0 6
23877.8 0 3
24059.59 0 1
24241.39 0 6
24241.39 0 3
24423.18 0 1
24604.98 0 6
24604.98 0 3
24786.78 0 1
24968.57 0 2
24968.57 0 5
25150.37 0 1
25332.16 0 5
25332.16 0 2
25695.76 0 6
25695.76 0 3
25877.55 0 3
25877.55 0 6
26059.35 0 6
26059.35 0 3
26241.15 0 1
26241.15 0 5
26241.15 0 2
26332.04 0 3
26422.94 0 1
26513.84 0 4
26604.74 0 3
26695.64 0 1
26786.53 0 5
26877.43 0 3
26968.33 0 1
27059.23 0 6
27150.13 0 3
