###FILE ALREADY PARSED###
BPM 50 120
439.51 0 7
634.26 0 7
829.02 0 7
1023.77 0 7
1218.53 0 7
1413.28 0 7
1608.04 0 7
1802.79 0 7
1997.55 0 7
2192.3 0 6
2387.05 0 6
2581.81 0 6
2776.57 0 6
2971.32 0 6
3166.07 0 6
3360.83 0 6
3555.58 0 3
3750.34 0 3
3945.09 0 3
4139.85 0 3
4334.6 0 3
4529.36 0 3
4724.11 0 3
4918.87 0 3
5113.62 0 3
5308.37 0 4
5503.13 0 4
5697.88 0 4
5892.64 0 4
6087.39 0 4
6282.15-6671.66 0 5
6671.66 0 7
6866.41 0 7
7061.17 0 7
7255.92 0 7
7450.68 0 7
7645.43 0 7
7840.18 0 7
8034.94 0 7
8229.689999999999 0 7
8424.45 0 6
8619.2 0 6
8813.96 0 6
9008.71 0 6
9203.47 0 6
9398.22 0 6
9592.98 0 6
9787.73 0 3
9982.49 0 3
10177.24 0 3
10371.99 0 3
10566.75 0 3
10761.5 0 3
10956.26 0 3
11151.01 0 3
11345.77 0 3
11540.52 0 3
11735.28 0 2
11930.03 0 2
12124.79 0 2
12319.54 0 2
12514.3 0 2
12709.05 0 2
12903.8 0 7
12903.8 0 4
12903.8 0 1
12903.8 0 2
13098.56 0 7
13098.56 0 2
13293.31 0 7
13293.31 0 3
13293.31 0 1
13293.31 0 2
13488.07 0 2
13488.07 0 7
13585.45 0 2
13682.82 0 1
13682.82 0 7
13682.82 0 2
13877.58 0 2
13877.58 0 7
14072.33 0 7
14072.33 0 3
14072.33 0 1
14072.33 0 2
14267.09 0 2
14267.09 0 7
14364.46 0 2
14461.84 0 1
14461.84 0 7
14461.84 0 2
14656.6 0 2
14656.6 0 6
14851.35 0 6
14851.35 0 3
14851.35 0 1
14851.35 0 2
15046.11 0 2
15046.11 0 6
15143.48 0 2
15240.86 0 1
15240.86 0 6
15240.86 0 2
15435.61 0 6
15435.61 0 2
15630.37 0 6
15630.37 0 3
15630.37 0 1
15630.37 0 2
15825.12 0 6
15825.12 0 2
15922.5 0 2
16019.88 0 2
16019.88 0 5
16019.88 0 1
16214.63 0 5
16214.63 0 2
16409.39 0 2
16409.39 0 5
16409.39 0 3
16409.39 0 1
16604.14 0 5
16604.14 0 2
16701.52 0 2
16798.9 0 2
16798.9 0 1
16798.9 0 5
16993.65 0 5
16993.65 0 2
17188.41 0 2
17188.41 0 5
17188.41 0 3
17188.41 0 1
17383.16 0 5
17383.16 0 2
17480.54 0 2
17577.92 0 2
17577.92 0 1
17577.92 0 5
17772.67 0 6
17772.67 0 2
17967.42 0 6
17967.42 0 1
17967.42 0 3
17967.42 0 2
18162.18 0 6
18162.18 0 2
18259.56 0 2
18356.93 0 1
18356.93 0 6
18356.93 0 2
18551.69 0 2
18551.69 0 6
18746.44 0 1
18746.44 0 3
18746.44 0 5
18746.44 0 2
18941.2 0 2
18941.2 0 5
19038.57 0 2
19135.95 0 1
19135.95 0 7
19135.95 0 2
19330.71 0 2
19330.71 0 7
19525.46 0 1
19525.46 0 3
19525.46 0 7
19525.46 0 2
19720.22 0 2
19720.22 0 7
19817.59 0 2
19914.97 0 1
19914.97 0 7
19914.97 0 2
20109.72 0 7
20109.72 0 2
20304.48 0 1
20304.48 0 3
20304.48 0 7
20304.48 0 2
20499.23 0 7
20499.23 0 2
20596.61 0 2
20693.99 0 2
20693.99 0 7
20693.99 0 1
20888.74 0 6
20888.74 0 2
21083.5 0 2
21083.5 0 6
21083.5 0 3
21083.5 0 1
21278.25 0 6
21278.25 0 2
21375.63 0 2
21473.01 0 2
21473.01 0 1
21473.01 0 6
21667.76 0 6
21667.76 0 2
21862.52 0 2
21862.52 0 6
21862.52 0 3
21862.52 0 1
22057.27 0 6
22057.27 0 2
22154.65 0 2
22252.03 0 2
22252.03 0 5
22252.03 0 1
22446.78 0 5
22446.78 0 2
22641.54 0 2
22641.54 0 5
22641.54 0 3
22641.54 0 1
22836.29 0 5
22836.29 0 2
22933.67 0 2
23031.04 0 1
23031.04 0 5
23031.04 0 2
23225.8 0 2
23225.8 0 5
23420.55 0 3
23420.55 0 1
23420.55 0 5
23420.55 0 2
23615.31 0 2
23615.31 0 5
23712.69 0 2
23810.06 0 1
23810.06 0 5
23810.06 0 2
24004.82 0 2
24004.82 0 4
24199.57 0 1
24199.57 0 3
24199.57 0 4
24199.57 0 2
24394.33 0 2
24394.33 0 4
24491.7 0 2
24589.08 0 1
24589.08 0 4
24589.08 0 2
24783.84 0 5
24783.84 0 1
24881.21 0 3
24978.59 0 5
24978.59 0 1
25075.97 0 3
25173.35 0 5
25173.35 0 1
25368.1 0 2
25368.1 0 3
25368.1 0 7
25368.1-25757.609999999997 0 5
25562.85 0 2
25562.85 0 3
25757.61 0 2
25757.61 0 3
25952.36 0 1
25952.36-26341.87 0 7
25952.36-26244.49 0 6
26147.12 0 1
26341.87 0 1
